,,,,,,
#,Cat-1: Prohibited,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
WN.Z1,WN(R),AP,Prohibit,,,
WN.Z2,WN(C),AP,Prohibit,,,
WN.Z3,WN(C),AR,Prohibit,,,
CO.Z1,CO,AA+GC+GR,Require,,,
CO.Z3,CO,M1,Require,,,
V1.Z1,V1,M1,Require,,,
V1.Z2,V1,M2,Require,,,
PO.Z1,PO,M1,Require,,,
PO.Z2,PO,M2,Require,,,
PO.Z3,PO,V1(P),Contain,,,
#,Cat-2:  WN-AC/AR related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
WN.W1,WN,,Wmin,8.0,,ER0001
WN.S1,WN,WN,Smin,4.0,,ER0025
WN.N1,WN,WN,Nmin,7.0,,
WN.S2,WN(R),WN(M),Smin,9.5,,ER0111
WN.S3,WN(C),WN(M),Smin,12.0,,ER0130
WN.S4,WN(R),WN(C),Smin,9.5,,ER0132
WN.S5,WN(R),WN(R),Smin,8.0,,ER0122
WN.S6,WN(C),WN(C),Smin,12.0,,ER0129
WN.S7,WN(M),WN(M),Smin,12.0,,ER0104
WN.AP,WN,AP,Smin,5.0,,ERWLMN01
WN.AN,WN,AN,Smin,10.0,,ERWLMN03
AR.S1,AR ,AR,Smin,4.0,,ERWLRR03
AR.WR,AR,WN(R),Emin,10.0,,ERWLRR02
AN.WR,AN,WN(R),Emin,10.0,,ERWLRR01
AR.AN,AR,AN,Smin,4.0,,ERWLRR04
AC.W1,AC,,Rect,28.5,120.0,Table I-2-1
AC.S1,AC,AC,Smin,6.4,,
AC.WC,AC,WN(C),Emin,8.0,,
AN.WC,AN,WN(C),Emin,3.0,,ERCSIO04
AC.AN,AC,AN,Sfix,2.8,2.8,ERCSIO11
AC.GC,AC,GC,Efix,1.4,1.4,ERCSIO13
AC.R1,AC,AN(C),Donut,0.0,,
GA.CX,GA(CX),WN(C),Smin,1.5,,
#,Cat-3: AP/AN/DP/DN related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
AP.W1,AP,,Wmin,1.4,,ER0004
AP.S1,AP,AP,Smin,1.4,,ER0028
AP.AN,AP,AN,Smin,2.8,,ERWLMP04
AP.WM,PMOS,AP-GC,Wmin/max,3.4,60.0,Table I-2-1
AP.LM,PMOS,GC-AP,Lmin/max,1.0,30.0,Table I-2-1
AP.WN,AP,WN,Emin,7.0,,ERWLMP02
DP.W1,DP,,Wmin,3.6,,
DP.S1,DP,DP,Smin,1.4,,=AP.S1
DP.AP,DP,AP(M),Smin,2.8,,ERWLMP08
DP.AN,DP,AN,Smin,2.8,,ERWLMP09
AN.W1,AN,,Wmin,1.4,,ER0004
AN.S1,AN,AN,Smin,1.4,,ER0028
AN.AP,AN,AP,Smin,2.8,,ERWLMN05
AN.WM,NMOS,AN-GC,Wmin/max,3.4,60.0,Table I-2-1
AN.LM,NMOS,GC-AN,Lmin/max,1.0,30.0,Table I-2-1
AN.WN,AN,WN(M),Emin,5.0,,ERWLMP03
DN.W1,DN,,Wmin,3.6,,
DN.S1,DN,DN,Smin,1.4,,=AN.S1
DN.AP,DN,AP,Smin,2.8,,ERWLMN10
DN.AN,DN,AN(M),Smin,2.8,,ERWLMN11
#,Cat-4: GC/CO related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
GC.W1,GC,,Wmin,1.0,,ER0014
GC.S1,GC,GC,Smin,1.2,,ER0038
GC.GR,GC,GR,Smin,1.2,,ER0038
GA.AP,GA,AP,Smin,0.4,,ERWLMP07
GA.AN,GA,AN,Smin,0.4,,ERWLMN09
GC.EP,AP,GC,Emin,1.2,,ER0902/ERMP06/ERMPE02
GC.EN,AN,GC,Emin,1.2,,ER0902/ERMN06/ERMNE02
GC.E2,AM,GC,ECmin,2.4,,ER0901
GA.BG,GA,BG,Prohibit,,,ER0419
GA.CO,GA,CO,Contain,,,ER0704
CO.W1,CO,,Rect,1.0,97.0,ER0020
CO.WM,CO(M),,Wfix,1.0,1.0,ER0020
CO.WB,CO(B),,Wfix,1.0,1.0,
CO.S1,CO,CO,Smin,1.0,,ER0044
CO.CL,CO(L),CO,Smin,1.6,,ER1303
CO.SM,CO(M),CO(M),Sfix,1.0,1.0,ERMP08/ERMN09
CO.WD,CO(D),,Wfix,1.2,1.2,ERDP05/ERDN05
CO.SD,CO(D),CO,Smin,1.2,,
CO.AD,CO(D),AP+AN,Emin,1.2,,ERDP24/ERDN23
CO.AP,CO,AP,Emin,0.8,,ERMP10
CO.AN,CO,AN,Emin,0.8,,ERMN11
CL.GC,CO(L),GC+GR,Prohibit,,,
CO.GG,CO(M),GC,Sfix,1.0,1.0,ERMP12/ERMN12
CO.GC,CO,GC+GR,Emin,0.8,,ER0050
#,Cat-5: AC/AR/GR related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
AR.W1,RR,RR(W),Wmin/max,2.8,20.0,Table I-2-1
AR.L1,RR,RR(L),Lmin/max,13.0,100.0,Table I-2-1
RR.SZ,RR,RROK,Contain,,,Valid width
RR.RT,RR,,Rect,,,
AR.GC,AR,GC,Sfix,1.0,,ERRR15
AR.PW,GC(R),,Wmin,2.0,,ERRR06
AR.XY,AR,Bevel,XYmin,1.0,,
GC.AN,GC(R),AN,Smin,???,???,
